custom:0:New custom Tree:Welcome to WoW Talent Tree Manager.__n__This is a solution to manage trees and their loadouts. A loadout is a collection of skillsets, __n__e.g. a skillset for Raid/M+/PvP etc. You can edit trees or work with spec presets, manage __n__various skillsets in your loadout as well as auto solve all possible skill combinations with a __n__given filter.__n____n__Edit the tree name/description here. To edit tree nodes select \"Tree Editor\" in the top right.__n__Press \"Save/Load Trees\" to load tree spec presets, manage your custom trees and import or__n__export trees (from/to Discord, etc.).__n__To start the tree editing process, go to \"Tree Editor\" -> \"Create Node\" and create your first talent.__n____n__Select the \"Talent Loadout Editor\" in the top left to manage your loadout. You can __n__edit the loadout description there and create/import/export skillsets. Since skillsets are stored__n__inside the loadout which is part of the tree, you can save your skillsets by saving the tree__n__in the tree editor.__n____n__Lastly, select the \"Talent Loadout Solver\" to generate all possible combinations of talent__n__selections for all possible amounts of spendable talent points. Afterwards, you can filter__n__the results to include/exclude specific talents and load the results into your loadout.__n____n__Hint__cl__ This text can be edited!:Your loadout is a collection of different skillset that you can edit to suit various ingame situations,__n__e.g. a raid setup, an M+ setup or different PvP skillsets.__n__All skillsets are stored in the loadout which in turn is stored in the tree. So if you save your tree__n__you'll save your loadout as well! Additionally, you can import/export skillsets directly, to share__n__with friends or your favorite discord class experts.:0:0;
druid_restoration:1:Restoration Druid:This is the preset for the Restoration Druid.__n__You can start editing the tree/loadout now.::31:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
druid_class:0:Druid:This is the preset for the Druid class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
evoker_devastation:1:Devastation Evoker:This is the preset for the Devastation Evoker.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
evoker_preservation:1:Preservation Evoker:This is the preset for the Preservation Evoker.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
evoker_class:0:Evoker:This is the preset for the Evoker class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
hunter_beastmastery:1:Beastmastery Hunter:This is the preset for the Beastmastery Hunter.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
hunter_marksmanship:1:Marksmanship Hunter:This is the preset for the Marksmanship Hunter.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0:0::;
hunter_survival:1:Survival Hunter:This is the preset for the Survival Hunter.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
hunter_class:0:Hunter:This is the preset for the Hunter class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
mage_arcane:1:Arcane Mage:This is the preset for the Arcane Mage.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
mage_fire:1:Fire Mage:This is the preset for the Fire Mage.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
mage_frost:1:Frost Mage:This is the preset for the Frost Mage.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
mage_class:0:Mage:This is the preset for the Mage class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
monk_brewmaster:1:Brewmaster Monk:This is the preset for the Brewmaster Monk.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
monk_mistweaver:1:Mistweaver Monk:This is the preset for the Mistweaver Monk.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
monk_windwalker:1:Windwalker Monk:This is the preset for the Windwalker Monk.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
monk_class:0:Monk:This is the preset for the Monk class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
paladin_holy:1:Holy Paladin:This is the preset for the Holy Paladin.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
paladin_protection:1:Protection Paladin:This is the preset for the Protection Paladin.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
paladin_retribution:1:Retribution Paladin:This is the preset for the Retribution Paladin.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
paladin_class:0:Paladin:This is the preset for the Paladin class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
priest_discipline:1:Discipline Priest:This is the preset for the Discipline Priest.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
priest_holy:1:Holy Priest:This is the preset for the Holy Priest.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
priest_shadow:1:Shadow Priest:This is the preset for the Shadow Priest.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
priest_class:0:Priest:This is the preset for the Priest class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
rogue_assassination:1:Assassination Rogue:This is the preset for the Assassination Rogue.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
rogue_outlaw:1:Outlaw Rogue:This is the preset for the Outlaw Rogue.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
rogue_subtlety:1:Subtlety Rogue:This is the preset for the Subtlety Rogue.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
rogue_class:0:rogue:This is the preset for the Rogue class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
shaman_elemental:1:Elemental Shaman:This is the preset for the Elemental Shaman.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
shaman_enhancement:1:Enhancement Shaman:This is the preset for the Enhancement Shaman.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
shaman_restoration:1:Restoration Shaman:This is the preset for the Restoration Shaman.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
shaman_class:0:Shaman:This is the preset for the Shaman class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
warlock_affliction:1:Affliction Warlock:This is the preset for the Affliction Warlock.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
warlock_demonology:1:Demonology Warlock:This is the preset for the Demonology Warlock.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
warlock_destruction:1:Destruction Warlock:This is the preset for the Destruction Warlock.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
warlock_class:0:Warlock:This is the preset for the Warlock class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
warrior_arms:1:Arms Warrior:This is the preset for the Arms Warrior.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
warrior_fury:1:Fury Warrior:This is the preset for the Fury Warrior.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
warrior_protection:1:Protection Warrior:This is the preset for the Protection Warrior.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
warrior_class:0:Warrior:This is the preset for the Warrior class tree.__n__You can start editing the tree/loadout now.::1:0;0:PLACEHOLDER:Placeholder talent__cl__Please wait for the release of the talent trees and check the github page for a new version.:0:1:4:1:0::;
